dataset,sex,tree,morph,covariate,lambda,residual_df,df_morph,F_morph,p_morph,df_covariate,F_covariate,p_covariate,df_morphxcovariate,F_morphxcovariate,p_morphxcovariate,adj.r2,bonf_p_morph,bonf_p_covariate,bonf_p_morphxcovariate
mean,female,full,HL,arboreal,0.97689893376918,93,1,159.99649115052466,6.354002965019731e-22,1,5.505029017784945,0.021085452011050644,1,0.07780526954622048,0.7809132981253744,0.628740620165816,3.8124017790118386e-21,1,1
mean,male,full,HL,arboreal,1,112,1,499.12793117483517,4.490356585574401e-43,1,8.007385563470987,0.005522561490382369,1,1.329990657591396,0.2512621327268001,0.8146552295040366,2.1104675952199685e-41,0.31478600495179504,1
mean,all,full,HH,fossorial,0.44623889993528226,132,1,760.6513761074024,1.224315911650635e-56,1,16.529907486546644,8.182533651352712e-5,1,0.014029161298646765,0.9058953172355118,0.8515170523802056,7.835621834564063e-55,0.004991345527325154,1
mean,all,full,HL,fossorial,0.8997702553975501,132,1,381.12509005686053,9.714889964275227e-41,1,14.8869142343194,1.7774814483331166e-4,1,1.4441384805977655,0.23162240316912067,0.7450213736434222,3.7888070860673383e-39,0.010487140545165387,1
mean,all,full,HH,taxonomy,0.637317962256068,121,1,576.9750527936561,7.185467954960274e-48,3,0.4434429908098654,0.7223738899007546,3,1.2661842861442067,0.28910359897272137,0.8179501014051979,4.1675714138769595e-46,1,1
mean,female,full,HH,taxonomy,0.8968872410239997,82,1,244.55394304007572,2.5060970872565794e-26,2,0.20437765218176784,0.8155684324591191,2,1.2777160236186835,0.2841619445849618,0.7359781087110783,3.0073165047078955e-25,1,1
mean,male,full,HH,taxonomy,0.8050005086542723,95,1,360.9199950799357,4.037981715863645e-34,2,0.08217599045048492,0.921175240131555,2,1.2694885890323964,0.28569779397937156,0.7819561397886754,1.0094954289659113e-32,1,1
mean,all,full,HL,taxonomy,0.9587660335804156,122,1,321.5976025175908,5.345626918335204e-36,3,0.24146614089651006,0.8672601157776366,3,3.4350702266441866,0.019142898231430144,0.7162510366674572,1.389862998767153e-34,1,1
mean,female,full,HL,taxonomy,0.9801626719397293,83,1,125.9426790761608,2.5605180553720644e-18,2,0.3360408927873948,0.7155615434777884,2,0.7405331853465161,0.47998345429418604,0.5831277143005439,7.681554166116193e-18,1,1
mean,male,full,HL,taxonomy,0.9776330617374478,97,1,208.54443570851132,6.617241249132385e-26,2,0.3819849332971254,0.6835274020947257,2,2.3084377997202234,0.10485423813758021,0.6719469075827911,7.278965374045624e-25,1,1
mean,all,full,SVL,acrodont,0.9459834451685603,157,1,416.848894441085,4.832817770752937e-46,1,0.7671488727464085,0.38243859673916814,1,3.1871754426860694,0.07614877869492266,0.7230891161452271,2.7063779516216445e-44,1,1
mean,female,full,SVL,acrodont,0.9259625082362165,108,1,244.9114818379993,1.5586807462410994e-29,1,1.0850552994769669,0.2998956087493208,1,1.490539307661931,0.22479151486562654,0.6877523618861275,2.8056253432339786e-28,1,1
mean,male,full,SVL,acrodont,0.9247833377348702,128,1,401.37447451250563,2.7998884143158517e-41,1,1.3181715616796743,0.2530616514174482,1,5.214903243883887,0.02404185068181526,0.7555548523869561,1.1479542498694993e-39,1,1
mean,all,full,HW,acrodont,0.9821780106927919,138,1,403.55840797641713,8.397688882436033e-43,1,0.053180480416977254,0.8179601488560235,1,3.049197967145519,0.08300227329445771,0.7411232761481721,3.778959997096215e-41,1,1
mean,female,full,HW,acrodont,0.9628277258355046,92,1,210.93273620464362,1.5409510143586084e-25,1,0.43476883457881627,0.5113053270018231,1,5.190696664649359,0.025022800416209672,0.6921164322471226,1.5409510143586083e-24,1,1
