BinomialReptileDatabase,Sex,Family,HigherTaxonomy,Superfamily,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Gallotia atlantica,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_atlantica,20,20,29.7,21,91.1,21.4,14,9.7,23.9
Gallotia bravoana,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_bravoana,14,14,133.3,210.5,184.5,46.1,31.6,23.4,48.2
Gallotia caesaris,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_caesaris,7,7,40.1,27.6,96.9,24.9,14.9,11.9,27
Gallotia simonyi,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_simonyi,11,11,143,446.2,236.5,56.8,40.7,30.3,61.1
Gallotia stehlini,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_stehlini,16,16,124.1,235.4,189.1,48.2,32.2,24.3,51.6
Sphenodon punctatus,Male,Sphenodontidae,Sphenodontia,Sphenodontia,Sphenodon_punctatus,74,74,173,434.8,230.2,60.6,45.2,33.4,65.3
Anolis heterodermus,Male,Dactyloidae,Iguania,Iguania,Anolis_heterodermus,6,6,17.54,NA,71.34,20.97,10.56,9.3,20.4
Anolis allisoni,Male,Dactyloidae,Iguania,Iguania,Anolis_allisoni,9,9,5.25,NA,70.79,24.55,14.45,7.59,23.44
Anolis angusticeps,Male,Dactyloidae,Iguania,Iguania,Anolis_angusticeps,57,57,1.58,NA,43.65,13.49,6.17,4.57,13.8
Anolis auratus,Male,Dactyloidae,Iguania,Iguania,Anolis_auratus,23,23,2.15,NA,43.52,11.79,5.93,4.82,11.63
Anolis bahorucoensis,Male,Dactyloidae,Iguania,Iguania,Anolis_bahorucoensis,30,30,2.14,NA,38.9,13.18,6.31,5.13,13.49
Anolis baracoae,Male,Dactyloidae,Iguania,Iguania,Anolis_baracoae,2,2,23.99,NA,123.03,41.69,13.8,17.38,41.69
Anolis barahonae,Male,Dactyloidae,Iguania,Iguania,Anolis_barahonae,32,32,48.98,NA,147.91,44.67,25.7,22.91,45.71
Anolis brevirostris,Male,Dactyloidae,Iguania,Iguania,Anolis_brevirostris,64,64,3.98,NA,44.67,13.49,8.13,5.89,13.18
Anolis brunneus,Male,Dactyloidae,Iguania,Iguania,Anolis_brunneus,53,53,4.57,NA,61.66,19.5,9.12,6.61,20.89
Anolis chloris,Male,Dactyloidae,Iguania,Iguania,Anolis_chloris,4,4,5.86,NA,59.41,16.42,8.65,6.82,16.54
Anolis coelestinus,Male,Dactyloidae,Iguania,Iguania,Anolis_coelestinus,70,70,10,NA,61.66,19.05,10.23,7.94,19.5
Anolis cuvieri,Male,Dactyloidae,Iguania,Iguania,Anolis_cuvieri,10,10,72.44,NA,131.83,42.66,21.88,19.05,41.69
Anolis cybotes,Male,Dactyloidae,Iguania,Iguania,Anolis_cybotes,61,61,11.75,NA,57.54,19.95,11.75,9.55,19.5
Anolis distichus,Male,Dactyloidae,Iguania,Iguania,Anolis_distichus,83,83,2.8,NA,46.81,13.27,8.59,6.1,13.44
Anolis equestris,Male,Dactyloidae,Iguania,Iguania,Anolis_equestris,10,10,57.62,NA,157.35,49.3,28.89,20.94,49.75
Anolis evermanni,Male,Dactyloidae,Iguania,Iguania,Anolis_evermanni,60,60,2.69,NA,54.95,16.22,9.33,6.92,16.98
Anolis frenatus,Male,Dactyloidae,Iguania,Iguania,Anolis_frenatus,2,2,27.29,NA,114.62,28.84,16.36,13.36,29.72
Anolis garmani,Male,Dactyloidae,Iguania,Iguania,Anolis_garmani,23,23,11.48,NA,91.2,26.3,14.45,11.75,27.54
Anolis grahami,Male,Dactyloidae,Iguania,Iguania,Anolis_grahami,23,23,4.79,NA,58.88,17.78,10,7.24,18.62
Anolis gundlachi,Male,Dactyloidae,Iguania,Iguania,Anolis_gundlachi,28,28,6.65,NA,63.25,19.8,10.44,8.6,19.92
