BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Xenosaurus grandis,Female,Xenosauridae,Anguimorpha,Xenosaurus_grandis,10,10,18.3,NA,112.49,26.95,21.84,13.16,28.46
Xenosaurus newmanorum,Female,Xenosauridae,Anguimorpha,Xenosaurus_newmanorum,13,13,13.36,NA,90.09,22.39,17.72,10.89,23.87
Xenosaurus platyceps,Female,Xenosauridae,Anguimorpha,Xenosaurus_platyceps,15,15,11.34,NA,98.54,23.11,19.62,10.66,25.32
Anolis sagrei,Female,Dactyloidae,Iguania,Anolis_sagrei,38,37,2.09,2.29,50.65,NA,NA,NA,NA
Gallotia galloti,Female,Lacertidae,Lacertoidea,Gallotia_galloti,24,24,34.6,NA,92.1,22.9,14.7,11.6,NA
Archaeolacerta bedriagae,Female,Lacertidae,Lacertoidea,Archaeolacerta_bedriagae,7,7,3.8,NA,63.1,15.6,9.3,6.2,NA
Lacerta bilineata,Female,Lacertidae,Lacertoidea,Lacerta_bilineata,2,2,14.5,NA,98.2,23.2,14,11.2,NA
Latastia longicaudata,Female,Lacertidae,Lacertoidea,Latastia_longicaudata,4,4,4.6,NA,76.6,17.8,9.5,7.9,NA
Podarcis liolepis,Female,Lacertidae,Lacertoidea,Podarcis_liolepis,9,9,2.6,NA,58.4,12.8,7,5.4,NA
Podarcis hispanicus,Female,Lacertidae,Lacertoidea,Podarcis_hispanicus,17,17,2.1,NA,53.8,12.1,7,4.9,NA
Podarcis lilfordi,Female,Lacertidae,Lacertoidea,Podarcis_lilfordi,14,14,6,NA,60.7,14.9,8.5,6.5,NA
Podarcis tiliguerta,Female,Lacertidae,Lacertoidea,Podarcis_tiliguerta,11,11,1.1,NA,50.1,11.4,6.1,4.6,NA
Psammodromus algirus,Female,Lacertidae,Lacertoidea,Psammodromus_algirus,6,6,5.2,NA,63.2,14.8,9,6.8,NA
Salvator merianae,Female,Teiidae,Lacertoidea,Salvator_merianae,9,9,312.94,NA,348,70.67,NA,NA,NA
Anolis carolinensis,Female,Dactyloidae,Iguania,Anolis_carolinensis,40,40,2.94,NA,50.43,NA,NA,NA,NA
Anolis pentaprion,Female,Dactyloidae,Iguania,Anolis_pentaprion,1,1,3.95,NA,46.63,13.23,7.67,5.6,12.76
Acanthodactylus pardalis,Female,Lacertidae,Lacertoidea,Acanthodactylus_pardalis,1,1,1.88,NA,60.69,13.42,8.35,6.69,NA
Tupinambis teguixin,Female,Teiidae,Lacertoidea,Tupinambis_teguixin,2,2,90,NA,305,NA,NA,NA,NA
Bradypodion caeruleogula,Female,Chamaeleonidae,Iguania,Bradypodion_caeruleogula,2,3,5.62,NA,44.53,NA,NA,NA,NA
Bradypodion caffer,Female,Chamaeleonidae,Iguania,Bradypodion_caffer,10,10,12.65,NA,57.54,NA,NA,NA,NA
Bradypodion damaranum,Female,Chamaeleonidae,Iguania,Bradypodion_damaranum,9,9,17.84,NA,58.63,NA,NA,NA,NA
Bradypodion kentanicum,Female,Chamaeleonidae,Iguania,Bradypodion_kentanicum,2,5,7.88,NA,51.98,NA,NA,NA,NA
Bradypodion nemorale,Female,Chamaeleonidae,Iguania,Bradypodion_nemorale,19,20,9.32,NA,56.64,NA,NA,NA,NA
Bradypodion occidentale,Female,Chamaeleonidae,Iguania,Bradypodion_occidentale,9,9,33.9,NA,86.58,NA,NA,NA,NA
Bradypodion pumilum,Female,Chamaeleonidae,Iguania,Bradypodion_pumilum,22,23,12.29,NA,58.49,NA,NA,NA,NA
Bradypodion setaroi,Female,Chamaeleonidae,Iguania,Bradypodion_setaroi,15,15,11.98,NA,58.33,NA,NA,NA,NA
Bradypodion taeniabronchum,Female,Chamaeleonidae,Iguania,Bradypodion_taeniabronchum,18,27,3.28,NA,50.82,NA,NA,NA,NA
Bradypodion thamnobates,Female,Chamaeleonidae,Iguania,Bradypodion_thamnobates,17,12,34.25,NA,66.34,NA,NA,NA,NA
Bradypodion transvaalense,Female,Chamaeleonidae,Iguania,Bradypodion_transvaalense,10,10,17.45,NA,66.14,NA,NA,NA,NA
Bradypodion ventrale,Female,Chamaeleonidae,Iguania,Bradypodion_ventrale,19,19,12.66,NA,67.47,NA,NA,NA,NA
