BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,arboreal,fossorial,Diet
Podarcis muralis,Male,Lacertidae,Lacertoidea,Podarcis_muralis,30,30,13.64,8.75,71,19,9,NA,NA,Other,Other,Carnivorous
Tarentola mauritanica,Male,Phyllodactylidae,Gekkota,Tarentola_mauritanica,12,12,5.48,NA,77.13,21.93,18.6,10.16,NA,Arboreal,Other,Carnivorous
Ablepharus kitaibelii,Male,Scincidae,Scincoidea,Ablepharus_kitaibelii,6,6,0.39,1.03,41.67,6.68,3.82,2.7,5.94,Other,Other,Carnivorous
Acontias kgalagadi,unknown,Scincidae,Scincoidea,Acontias_kgalagadi,5,5,1.16,1.95,116.12,7.27,3.6,3.23,5.7,Other,Fossorial,Carnivorous
Acontias litoralis,unknown,Scincidae,Scincoidea,Acontias_litoralis,47,42,0.73,1.39,108.34,5.95,3.01,2.54,5.09,Other,Fossorial,Carnivorous
Acontias meleagris,unknown,Scincidae,Scincoidea,Acontias_meleagris,6,6,8.99,9.74,194.24,10.43,5.81,4.56,7.67,Other,Fossorial,Carnivorous
Acontias percivali,unknown,Scincidae,Scincoidea,Acontias_percivali,12,12,10.08,16.87,246.83,13.88,8,6.98,13.25,Other,Fossorial,Carnivorous
Anolis lineatopus,Male,Dactyloidae,Pleurodonta,Anolis_lineatopus,58,58,3.4,3.11,51.6,15.86,8.39,6.34,16.19,Arboreal,Other,Carnivorous
Chalcides ocellatus,unknown,Scincidae,Scincoidea,Chalcides_ocellatus,16,13,6.82,10.28,80.88,11.85,7.76,6.53,12.96,Other,Other,Carnivorous
Chalcides sepsoides,unknown,Scincidae,Scincoidea,Chalcides_sepsoides,17,17,4.12,4.66,83.41,9.9,5.93,5.05,9.97,Other,Fossorial,Omnivorous
Gallotia atlantica,Male,Lacertidae,Lacertoidea,Gallotia_atlantica,20,20,29.7,21,91.1,21.4,14,9.7,23.9,Other,Other,Omnivorous
Gallotia bravoana,Male,Lacertidae,Lacertoidea,Gallotia_bravoana,14,14,133.3,210.5,184.5,46.1,31.6,23.4,48.2,Other,Other,Herbivorous
Gallotia caesaris,Male,Lacertidae,Lacertoidea,Gallotia_caesaris,7,7,40.1,27.6,96.9,24.9,14.9,11.9,27,Other,Other,Omnivorous
Gallotia simonyi,Male,Lacertidae,Lacertoidea,Gallotia_simonyi,11,11,143,446.2,236.5,56.8,40.7,30.3,61.1,Other,Other,Herbivorous
Gallotia stehlini,Male,Lacertidae,Lacertoidea,Gallotia_stehlini,16,16,124.1,235.4,189.1,48.2,32.2,24.3,51.6,Other,Other,Herbivorous
Mochlus sundevallii,unknown,Scincidae,Scincoidea,Mochlus_sundevallii,10,10,12.33,9.83,83.64,12.4,7.68,6.2,12.64,Other,Fossorial,Carnivorous
Scelotes bipes,unknown,Scincidae,Scincoidea,Scelotes_bipes,12,11,1.33,1.56,74.56,6.18,3.22,2.62,5.46,Other,Fossorial,Carnivorous
Scincus scincus,unknown,Scincidae,Scincoidea,Scincus_scincus,5,5,18.39,18.75,92.2,18.76,10.65,9.92,18.44,Other,Fossorial,Omnivorous
Sphenodon punctatus,Male,Sphenodontidae,Rhynchocephalia,Sphenodon_punctatus,74,74,173,434.8,230.2,60.6,45.2,33.4,65.3,Other,Other,Carnivorous
Typhlosaurus caecus,unknown,Scincidae,Scincoidea,Typhlosaurus_caecus,32,32,3.01,3.42,171.3,6.7,3.39,1.98,4.67,Other,Fossorial,Carnivorous
Typhlosaurus lomiae,unknown,Scincidae,Scincoidea,Typhlosaurus_lomiae,9,9,0.45,0.92,106.33,5.52,2.6,2.13,3.99,Other,Fossorial,Carnivorous
Typhlosaurus vermis,unknown,Scincidae,Scincoidea,Typhlosaurus_vermis,6,6,0.93,2.68,195.33,6.76,3.18,2.67,5.4,Other,Fossorial,Carnivorous
Pygomeles braconnieri,unknown,Scincidae,Scincoidea,Pygomeles_braconnieri,6,1,9.36,12.78,109.67,10.61,6.25,5.06,9.4,Other,Fossorial,NA
Anolis heterodermus,Male,Dactyloidae,Pleurodonta,Anolis_heterodermus,6,6,17.54,NA,71.34,20.97,10.56,9.3,20.4,Arboreal,Other,Carnivorous
Anolis allisoni,Male,Dactyloidae,Pleurodonta,Anolis_allisoni,9,9,5.25,NA,70.79,24.55,14.45,7.59,23.44,Arboreal,Other,Carnivorous
Anolis angusticeps,Male,Dactyloidae,Pleurodonta,Anolis_angusticeps,57,57,1.58,NA,43.65,13.49,6.17,4.57,13.8,Arboreal,Other,Carnivorous
Anolis auratus,Female,Dactyloidae,Pleurodonta,Anolis_auratus,22,22,2.87,NA,46.03,11.81,6.13,4.85,11.89,Arboreal,Other,Carnivorous
Anolis bahorucoensis,Male,Dactyloidae,Pleurodonta,Anolis_bahorucoensis,30,30,2.14,NA,38.9,13.18,6.31,5.13,13.49,Arboreal,Other,Carnivorous
Anolis baracoae,Male,Dactyloidae,Pleurodonta,Anolis_baracoae,2,2,23.99,NA,123.03,41.69,13.8,17.38,41.69,Arboreal,Other,Carnivorous
Anolis barahonae,Male,Dactyloidae,Pleurodonta,Anolis_barahonae,32,32,48.98,NA,147.91,44.67,25.7,22.91,45.71,Arboreal,Other,Omnivorous
Anolis brevirostris,Male,Dactyloidae,Pleurodonta,Anolis_brevirostris,64,64,3.98,NA,44.67,13.49,8.13,5.89,13.18,Arboreal,Other,Carnivorous
Anolis brunneus,Male,Dactyloidae,Pleurodonta,Anolis_brunneus,53,53,4.57,NA,61.66,19.5,9.12,6.61,20.89,Arboreal,Other,Carnivorous
Anolis chloris,Male,Dactyloidae,Pleurodonta,Anolis_chloris,4,4,5.86,NA,59.41,16.42,8.65,6.82,16.54,Arboreal,Other,Carnivorous
Anolis coelestinus,Male,Dactyloidae,Pleurodonta,Anolis_coelestinus,70,70,10,NA,61.66,19.05,10.23,7.94,19.5,Arboreal,Other,Carnivorous
Anolis cuvieri,Male,Dactyloidae,Pleurodonta,Anolis_cuvieri,10,10,72.44,NA,131.83,42.66,21.88,19.05,41.69,Arboreal,Other,Omnivorous
Anolis cybotes,Male,Dactyloidae,Pleurodonta,Anolis_cybotes,61,61,11.75,NA,57.54,19.95,11.75,9.55,19.5,Arboreal,Other,Carnivorous
Anolis distichus,Male,Dactyloidae,Pleurodonta,Anolis_distichus,83,83,2.8,NA,46.81,13.27,8.59,6.1,13.44,Arboreal,Other,Carnivorous
Anolis evermanni,Male,Dactyloidae,Pleurodonta,Anolis_evermanni,60,60,2.69,NA,54.95,16.22,9.33,6.92,16.98,Arboreal,Other,Carnivorous
Anolis frenatus,Male,Dactyloidae,Pleurodonta,Anolis_frenatus,2,2,27.29,NA,114.62,28.84,16.36,13.36,29.72,Arboreal,Other,Carnivorous
Anolis grahami,Male,Dactyloidae,Pleurodonta,Anolis_grahami,23,23,4.79,NA,58.88,17.78,10,7.24,18.62,Arboreal,Other,Omnivorous
Anolis gundlachi,Male,Dactyloidae,Pleurodonta,Anolis_gundlachi,28,28,6.65,NA,63.25,19.8,10.44,8.6,19.92,Arboreal,Other,Carnivorous
Anolis humilis,Female,Dactyloidae,Pleurodonta,Anolis_humilis,11,11,2.13,NA,35.16,10.33,5.64,4.32,10.32,Arboreal,Other,Carnivorous
Anolis krugi,Male,Dactyloidae,Pleurodonta,Anolis_krugi,39,39,1.91,NA,38.9,12.88,6.76,5.89,12.88,Arboreal,Other,Carnivorous
Anolis limifrons,Female,Dactyloidae,Pleurodonta,Anolis_limifrons,23,23,1.96,NA,39.24,10.89,5.56,4.24,10.64,Arboreal,Other,Carnivorous
Anolis olssoni,Male,Dactyloidae,Pleurodonta,Anolis_olssoni,29,29,2.57,NA,43.65,12.3,5.89,5.13,13.18,Arboreal,Other,Carnivorous
Anolis pulchellus,Male,Dactyloidae,Pleurodonta,Anolis_pulchellus,36,36,2.52,NA,42.13,13.43,6.3,5.36,13.68,Arboreal,Other,Carnivorous
Anolis sheplani,Female,Dactyloidae,Pleurodonta,Anolis_sheplani,16,16,1.23,NA,37.15,10.47,4.37,4.27,10.72,Arboreal,Other,Carnivorous
Anolis singularis,Male,Dactyloidae,Pleurodonta,Anolis_singularis,16,16,2.51,NA,38.9,12.3,6.76,5.25,12.88,Arboreal,Other,NA
Anolis smaragdinus,Male,Dactyloidae,Pleurodonta,Anolis_smaragdinus,54,54,2.88,NA,53.7,16.6,8.32,5.75,17.38,Arboreal,Other,Carnivorous
Anolis stratulus,Male,Dactyloidae,Pleurodonta,Anolis_stratulus,38,38,1.82,NA,44.67,13.8,7.76,5.5,13.8,Arboreal,Other,Carnivorous
Anolis valencienni,Male,Dactyloidae,Pleurodonta,Anolis_valencienni,23,23,6.7,NA,67.47,19.89,9.59,7.97,19.96,Arboreal,Other,Omnivorous
Aspidoscelis sonorae,unknown,Teiidae,Lacertoidea,Aspidoscelis_sonorae,51,51,5.88,NA,70.68,NA,10.24,8.65,NA,Other,Other,Carnivorous
Bradypodion melanocephalum,Female,Chamaeleonidae,Acrodonta,Bradypodion_melanocephalum,16,15,13.88,NA,57.47,11.23,7.33,6.89,11.05,Arboreal,Other,Carnivorous
Cophosaurus texanus,unknown,Phrynosomatidae,Pleurodonta,Cophosaurus_texanus,29,29,4.23,NA,60.71,NA,10.32,7.86,NA,Other,Other,Carnivorous
Crotaphytus collaris,unknown,Crotaphytidae,Pleurodonta,Crotaphytus_collaris,6,6,11.79,NA,72.26,NA,17.08,11.05,NA,Other,Other,Carnivorous
Dracaena guianensis,unknown,Teiidae,Lacertoidea,Dracaena_guianensis,4,4,383.3,NA,389,81.2,69.9,55.5,100,Arboreal,Other,Carnivorous
Elgaria kingii,unknown,Anguidae,Anguimorpha,Elgaria_kingii,15,15,5.96,NA,80.12,NA,9.93,7.11,NA,Other,Other,Carnivorous
Karusasaurus polyzonus,Male,Cordylidae,Scincoidea,Karusasaurus_polyzonus,16,16,33.19,NA,101.04,25.78,21.68,12.81,26.48,Other,Other,Carnivorous
Dalmatolacerta oxycephala,Male,Lacertidae,Lacertoidea,Dalmatolacerta_oxycephala,34,34,5.9,NA,58.4,15.1,8.2,5.8,15.9,Other,Other,Carnivorous
Ouroborus cataphractus,Male,Cordylidae,Scincoidea,Ouroborus_cataphractus,19,19,58.01,NA,105.03,29.08,27.54,14.01,28.64,Other,Other,Carnivorous
Podarcis siculus,Male,Lacertidae,Lacertoidea,Podarcis_siculus,NA,NA,11.25,6.38,69.54,16.33,9.13,7.35,17.45,Other,Other,Omnivorous
Sceloporus clarkii,unknown,Phrynosomatidae,Pleurodonta,Sceloporus_clarkii,49,49,14.17,NA,80.98,NA,17.35,11.68,NA,Arboreal,Other,Omnivorous
Sceloporus magister,unknown,Phrynosomatidae,Pleurodonta,Sceloporus_magister,8,8,8.32,NA,62.63,NA,13.39,9.3,NA,Arboreal,Other,Carnivorous
Sceloporus undulatus,unknown,Phrynosomatidae,Pleurodonta,Sceloporus_undulatus,68,68,5.81,NA,58.19,NA,11.45,7.96,NA,Arboreal,Other,Carnivorous
Uta stansburiana,unknown,Phrynosomatidae,Pleurodonta,Uta_stansburiana,3,3,2.88,NA,46.77,NA,9.02,6.07,NA,Other,Other,Carnivorous
Xenosaurus grandis,Male,Xenosauridae,Anguimorpha,Xenosaurus_grandis,11,11,18.94,NA,109.78,26.45,21.63,13.18,28.79,Other,Other,Carnivorous
Xenosaurus newmanorum,Male,Xenosauridae,Anguimorpha,Xenosaurus_newmanorum,7,7,20.38,NA,106.42,28.06,21.65,13.31,30.07,Other,Other,Omnivorous
Xenosaurus platyceps,Male,Xenosauridae,Anguimorpha,Xenosaurus_platyceps,10,10,12.43,NA,89.37,22.35,18.99,10.37,24.21,Other,Other,Carnivorous
Acanthodactylus pardalis,Male,Lacertidae,Lacertoidea,Acanthodactylus_pardalis,5,5,4.9,NA,59,14.4,9.5,8.1,NA,Other,Other,Carnivorous
Callisaurus draconoides,Male,Phrynosomatidae,Pleurodonta,Callisaurus_draconoides,12,12,4.79,NA,83.04,15.66,12.59,8.8,NA,Other,Other,Carnivorous
Carlia triacantha,unknown,Scincidae,Scincoidea,Carlia_triacantha,2,2,0.41,2.75,44.81,8.92,7.81,NA,NA,Other,Other,Carnivorous
Aspidoscelis tigris,Male,Teiidae,Lacertoidea,Aspidoscelis_tigris,5,5,6.69,NA,77.26,18.97,10.28,8.87,NA,Other,Other,Carnivorous
Smaug mossambicus,Male,Cordylidae,Scincoidea,Smaug_mossambicus,5,5,19.31,NA,109.03,30.29,24.93,13.92,NA,Other,Other,Carnivorous
Corucia zebrata,Male,Scincidae,Scincoidea,Corucia_zebrata,2,2,206.85,NA,275,50.6,48.88,36.03,NA,Arboreal,Other,Herbivorous
Cryptoblepharus metallicus,unknown,Scincidae,Scincoidea,Cryptoblepharus_metallicus,11,8,0.12,1,35.7,7.91,5.19,NA,NA,Arboreal,Other,Carnivorous
Ctenotus inornatus,unknown,Scincidae,Scincoidea,Ctenotus_inornatus,10,9,1.26,5.4,63.99,12.42,8.84,NA,NA,Other,Other,Carnivorous
Ctenotus robustus,unknown,Scincidae,Scincoidea,Ctenotus_robustus,15,12,3.74,16.6,90.53,15.04,11.64,NA,NA,Other,Other,Omnivorous
Dipsosaurus dorsalis,Male,Iguanidae,Pleurodonta,Dipsosaurus_dorsalis,10,10,18.99,NA,125.74,22.38,19.15,14.17,NA,Other,Other,Herbivorous
Eremiascincus isolepis,unknown,Scincidae,Scincoidea,Eremiascincus_isolepis,5,5,0.32,3,53.11,9.68,7.23,NA,NA,Other,Other,Carnivorous
Eulamprus heatwolei,Male,Scincidae,Scincoidea,Eulamprus_heatwolei,3,3,16.66,NA,109.17,21.37,13.7,11.24,NA,Other,Other,Carnivorous
Gallotia galloti,Male,Lacertidae,Lacertoidea,Gallotia_galloti,56,16,108.57,NA,109.65,28.18,18.62,14.79,NA,Other,Other,Herbivorous
Archaeolacerta bedriagae,Male,Lacertidae,Lacertoidea,Archaeolacerta_bedriagae,14,14,7.2,NA,67.9,18.3,10.9,6.9,NA,Other,Other,Omnivorous
Lacerta bilineata,Male,Lacertidae,Lacertoidea,Lacerta_bilineata,2,2,23.3,NA,90.4,24.4,15.8,11.8,NA,Other,Other,Carnivorous
Latastia longicaudata,Male,Lacertidae,Lacertoidea,Latastia_longicaudata,3,3,7,NA,90.4,20.5,11.2,9.5,NA,Other,Other,Carnivorous
Stellagama stellio,Male,Agamidae,Acrodonta,Stellagama_stellio,4,4,22.23,NA,95.79,23.64,23.42,12.93,NA,Arboreal,Other,Omnivorous
Podarcis liolepis,Male,Lacertidae,Lacertoidea,Podarcis_liolepis,6,6,7.8,NA,63.7,16,9.1,7.2,NA,Other,Other,Omnivorous
Podarcis hispanicus,Male,Lacertidae,Lacertoidea,Podarcis_hispanicus,10,10,4.3,NA,55.4,14.3,8.4,5.9,NA,Other,Other,Omnivorous
Podarcis lilfordi,Male,Lacertidae,Lacertoidea,Podarcis_lilfordi,8,8,10.71,NA,62.08,16.44,9.63,7.71,NA,Other,Other,Omnivorous
Podarcis tiliguerta,Male,Lacertidae,Lacertoidea,Podarcis_tiliguerta,18,18,3.6,NA,55.1,14.6,7.9,6,NA,Other,Other,Carnivorous
Pogona vitticeps,Male,Agamidae,Acrodonta,Pogona_vitticeps,8,8,112.39,NA,217.76,38.1,48.37,29.06,NA,Arboreal,Other,Omnivorous
Psammodromus algirus,Male,Lacertidae,Lacertoidea,Psammodromus_algirus,9,9,11.52,NA,74.84,18.34,11.61,8.77,NA,Arboreal,Other,Omnivorous
Tiliqua rugosa,Male,Scincidae,Scincoidea,Tiliqua_rugosa,13,13,161.64,NA,282.44,45.9,51.64,33.21,NA,Other,Other,Herbivorous
Uromastix acanthinura,Male,Agamidae,Acrodonta,Uromastix_acanthinura,4,4,68.39,NA,159.46,31.79,32.69,18.81,NA,Other,Other,Herbivorous
Varanus exanthematicus,Male,Varanidae,Anguimorpha,Varanus_exanthematicus,7,7,86.61,NA,237.9,48.01,33.58,23.99,NA,Arboreal,Other,Carnivorous
Salvator merianae,Male,Teiidae,Lacertoidea,Salvator_merianae,10,10,534.24,NA,425,99.65,NA,NA,NA,Other,Other,Omnivorous
Diplolaemus leopardinus,unknown,Leiosauridae,Pleurodonta,Diplolaemus_leopardinus,21,20,16.5,18.7,79.69,NA,NA,NA,NA,Other,Other,Carnivorous
Gallotia intermedia,Male,Lacertidae,Lacertoidea,Gallotia_intermedia,1,1,121.9,123,154.8,42.3,28.4,20.3,34.6,Other,Other,Omnivorous
Gekko gecko,Male,Gekkonidae,Gekkota,Gekko_gecko,5,5,29.1,33.7,123.9,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Scelotes montispectus,unknown,Scincidae,Scincoidea,Scelotes_montispectus,1,1,1.27,1,61.58,6.81,3.32,2.83,6.4,Other,Other,NA
Anolis carolinensis,Male,Dactyloidae,Pleurodonta,Anolis_carolinensis,56,56,9.83,NA,63.32,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Anolis pentaprion,Female,Dactyloidae,Pleurodonta,Anolis_pentaprion,1,1,3.95,NA,46.63,13.23,7.67,5.6,12.76,Arboreal,Other,Carnivorous
Anolis sagrei,Male,Dactyloidae,Pleurodonta,Anolis_sagrei,27,27,7.99,NA,58.13,16.27,NA,NA,NA,Arboreal,Other,Carnivorous
Acanthodactylus aureus,Male,Lacertidae,Lacertoidea,Acanthodactylus_aureus,3,3,5.83,NA,72.35,18.73,11.17,9.16,NA,Other,Other,Carnivorous
Acanthodactylus erythrurus,Male,Lacertidae,Lacertoidea,Acanthodactylus_erythrurus,7,7,9.7,NA,72.5,17.75,11.65,9.27,NA,Other,Other,Carnivorous
Iberolacerta monticola,Male,Lacertidae,Lacertoidea,Iberolacerta_monticola,6,6,12.91,NA,73.28,17.96,11.18,7.89,NA,Other,Other,Carnivorous
Lacerta schreiberi,Male,Lacertidae,Lacertoidea,Lacerta_schreiberi,7,7,34.23,NA,95.57,24.58,17.01,13.22,NA,Other,Other,Carnivorous
Zootoca vivipara,Male,Lacertidae,Lacertoidea,Zootoca_vivipara,8,8,2.29,NA,52.63,11.54,7.19,5.71,NA,Other,Other,Carnivorous
Podarcis peloponnesiacus,Male,Lacertidae,Lacertoidea,Podarcis_peloponnesiacus,9,9,13.45,NA,75.5,19.66,11.83,9.67,NA,Arboreal,Other,Carnivorous
Psammodromus hispanicus,Male,Lacertidae,Lacertoidea,Psammodromus_hispanicus,6,6,2.26,NA,41.1,10.72,6.56,5.24,NA,Other,Other,Carnivorous
Takydromus sexlineatus,Male,Lacertidae,Lacertoidea,Takydromus_sexlineatus,9,9,0.56,NA,54.45,13.73,6.24,5.43,NA,Arboreal,Other,Carnivorous
Tupinambis teguixin,Male,Teiidae,Lacertoidea,Tupinambis_teguixin,3,3,105,NA,317.33,NA,NA,NA,NA,Other,Other,Omnivorous
Bradypodion caeruleogula,Male,Chamaeleonidae,Acrodonta,Bradypodion_caeruleogula,6,6,6.14,NA,46.11,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion caffer,Male,Chamaeleonidae,Acrodonta,Bradypodion_caffer,6,6,14.78,NA,61.96,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion damaranum,Male,Chamaeleonidae,Acrodonta,Bradypodion_damaranum,19,19,24.01,NA,65.46,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion kentanicum,Male,Chamaeleonidae,Acrodonta,Bradypodion_kentanicum,11,11,7.88,NA,51.02,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion nemorale,Female,Chamaeleonidae,Acrodonta,Bradypodion_nemorale,19,20,9.32,NA,56.64,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion occidentale,Female,Chamaeleonidae,Acrodonta,Bradypodion_occidentale,9,9,33.9,NA,86.58,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion pumilum,Male,Chamaeleonidae,Acrodonta,Bradypodion_pumilum,27,27,16.09,NA,62.07,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion setaroi,Female,Chamaeleonidae,Acrodonta,Bradypodion_setaroi,15,15,11.98,NA,58.33,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion taeniabronchum,Male,Chamaeleonidae,Acrodonta,Bradypodion_taeniabronchum,21,32,3.65,NA,50.13,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion thamnobates,Female,Chamaeleonidae,Acrodonta,Bradypodion_thamnobates,17,12,34.25,NA,66.34,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion transvaalense,Female,Chamaeleonidae,Acrodonta,Bradypodion_transvaalense,10,10,17.45,NA,66.14,NA,NA,NA,NA,Arboreal,Other,Carnivorous
Bradypodion ventrale,Female,Chamaeleonidae,Acrodonta,Bradypodion_ventrale,19,19,12.66,NA,67.47,NA,NA,NA,NA,Arboreal,Other,Carnivorous
