BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis smaragdinus,Male,Dactyloidae,Iguania,54,54,4.43,NA,54.82,17.700000000000003,9.440000000000001,6.87,18.5
Anolis stratulus,Male,Dactyloidae,Iguania,38,38,2.99,NA,45.72,14.850000000000001,8.83,6.6,14.850000000000001
Anolis valencienni,Male,Dactyloidae,Iguania,23,23,9.8,NA,72.19,21.810000000000002,10.54,8.959999999999999,21.95
Bradypodion melanocephalum,Male,Chamaeleonidae,Iguania,25,23,13.479999999999999,NA,50.02,12.4,8.02,13.870000000000001,12.39
Bradypodion thamnobates,Male,Chamaeleonidae,Iguania,20,20,41.46,NA,63.27,17.03,12.91,10.96,17.580000000000002
Iberolacerta horvathi,Male,Lacertidae,Lacertoidea,26,26,1.9100000000000001,NA,57.65,20.46,8.02,5.26,NA
Karusasaurus polyzonus,Male,Cordylidae,Scincoidea,16,16,46.82,NA,108.34,27.6,23.689999999999998,13.950000000000001,28.29
Dalmatolacerta oxycephala,Male,Lacertidae,Lacertoidea,34,34,7.9,NA,61.4,16.1,9.1,6.7,16.2
Liolaemus baguali,Male,Liolaemidae,Iguania,6,6,16.98266828073658,NA,99.54850479013726,21.222418306772823,14.738025460788357,9.150704050814243,22.30736728105114
Liolaemus bibronii,Male,Liolaemidae,Iguania,4,4,3.81,NA,56.65,12.129999999999999,8.28,5.93,12.15
Liolaemus canqueli,Male,Liolaemidae,Iguania,7,7,16.812208824175237,NA,101.15980314655502,19.741215550647127,12.672248194864233,9.896862696659689,20.99579068175359
Liolaemus kriegi,Male,Liolaemidae,Iguania,3,3,9.688320137979414,NA,82.6386910835277,17.609948452238573,13.10746133917893,8.807986928011506,18.086550992617017
Liolaemus coeruleus,Male,Liolaemidae,Iguania,13,13,6.377998459167036,NA,64.64655204588047,13.46688820407424,9.952943716828878,6.242666153055678,14.030832691319599
Liolaemus elongatus,Male,Liolaemidae,Iguania,7,7,10.157450786638755,NA,79.57589484680562,17.16955544576196,11.085607775323563,7.137490157327751,17.15664041954067
Liolaemus escarchadosi,Male,Liolaemidae,Iguania,4,4,12.75,NA,82.24,17.61,11.58,10.27,19.05
Liolaemus fitzingerii,Male,Liolaemidae,Iguania,4,4,19.11,NA,100.55,20.26,14.32,10.379999999999999,20.95
Liolaemus hatcheri,Male,Liolaemidae,Iguania,7,7,4.710182906430023,NA,62.16969898150299,13.465607775323564,9.841437827766148,6.26206528843421,13.807895340876794
Liolaemus kingii,Male,Liolaemidae,Iguania,3,3,10.526166234887677,NA,77.954242446241,16.00444863728671,11.41870489570875,8.176935750346352,16.519089653438087
Liolaemus kolengh,Male,Liolaemidae,Iguania,7,7,3.3737253933193774,NA,58.86364665194139,12.734352853987438,9.511437827766148,5.955607775323564,13.327895340876793
Liolaemus mapuche,Male,Liolaemidae,Iguania,11,11,13.156967336477212,NA,83.66960720230466,17.22965745387819,12.246992462263972,9.273324958071079,17.98282370178174
Liolaemus morenoi,Male,Liolaemidae,Iguania,6,6,10.120249973963757,NA,68.9201479225204,14.872928563989644,10.456413256273139,7.261464281994822,15.255403051128804
Liolaemus petrophilus,Male,Liolaemidae,Iguania,2,2,10.53,NA,95.94744299452283,21.94889393668845,14.34237590053236,8.509827560572969,23.607178207935913
Liolaemus rothi,Male,Liolaemidae,Iguania,3,3,6.903153532995459,NA,87.80240794093612,17.641192008768392,13.619038105676658,9.068897274573418,19.364397089525283
Liolaemus sarmientoi,Male,Liolaemidae,Iguania,4,4,9.14,NA,79.91,16.95,11.86,9.11,18.04
Liolaemus tenuis,Male,Liolaemidae,Iguania,4,4,5.8999999999999995,NA,57.35,13.92,9.319999999999999,6,14.559999999999999
Liolaemus xanthoviridis,Male,Liolaemidae,Iguania,5,5,14.49092089322475,NA,90.8423369549492,18.084558747174878,12.552755348299891,8.951509230324909,18.596919426949878
Liolaemus zullyae,Male,Liolaemidae,Iguania,5,5,9.64121506177483,NA,74.81459713474939,17.0233126291999,11.35790243257493,8.37609903369994,17.486787870774915
Ouroborus cataphractus,Male,Cordylidae,Scincoidea,19,19,71.35,NA,111.05,30.75,29.56,14.9,30.05
Podarcis melisellensis,Male,Lacertidae,Lacertoidea,25,25,8.1,NA,65.2,16,8.7,7,17.3
Podarcis muralis,Male,Lacertidae,Lacertoidea,30,30,10.559999999999999,7.6499999999999995,66.16,17.529999999999998,8.62,NA,NA
Sauromalus ater,Male,Iguanidae,Iguania,34,34,105.75475947422649,236.78142477979335,182.89428454762873,35.71547594742265,30.932380757938123,17.44928556845359,NA
Tarentola mauritanica,Male,Phyllodactylidae,Gekkota,12,12,4.37,NA,69.87,20.15,16.740000000000002,9.03,NA
Trogonophis wiegmanni,Male,Trogonophidae,Lacertoidea,15,15,6.439354670786374,8.456653005407116,168.07499869859438,7.502217668469038,5.670947501931113,4.612217668469039,NA
Urosaurus ornatus,Male,Phrynosomatidae,Iguania,12,12,6.053871500692704,NA,51.56774300138541,11.983538290724795,9.885692193816531,6.664974226119285,NA
Xenosaurus grandis,Male,Xenosauridae,Anguimorpha,11,11,24.060000000000002,NA,117.29,28.77,23.27,13.76,30.75
Xenosaurus newmanorum,Male,Xenosauridae,Anguimorpha,7,7,25.669999999999998,NA,112.55,29.669999999999998,22.58,14.030000000000001,31.87
Xenosaurus platyceps,Male,Xenosauridae,Anguimorpha,10,10,16.79,NA,105.88000000000001,26.6,23.82,12.43,29.490000000000002
Acanthodactylus pardalis,Male,Lacertidae,Lacertoidea,5,5,5.6000000000000005,NA,60.8,14.8,9.9,8.5,NA
Aspidoscelis sexlineatus,Male,Teiidae,Lacertoidea,112,112,5.705790681753587,NA,70.69150262212919,17.545790681753587,9.492470471983252,8.10664041954067,NA
Gallotia galloti,Male,Lacertidae,Lacertoidea,56,16,148.78,NA,110.76,29.34,19.79,16,NA
Archaeolacerta bedriagae,Male,Lacertidae,Lacertoidea,14,14,11,NA,77.2,21.2,12.700000000000001,8.1,NA
Lacerta bilineata,Male,Lacertidae,Lacertoidea,2,2,23.5,NA,92.9,25.9,16.1,12.100000000000001,NA
Latastia longicaudata,Male,Lacertidae,Lacertoidea,3,3,9,NA,95.80000000000001,21.7,11.7,10,NA
Podarcis liolepis,Male,Lacertidae,Lacertoidea,6,6,9.2,NA,65.10000000000001,16.4,9.4,7.7,NA
Podarcis hispanicus,Male,Lacertidae,Lacertoidea,10,10,5.4,NA,59.5,15.3,9,6.5,NA
Podarcis tiliguerta,Male,Lacertidae,Lacertoidea,18,18,5,NA,60,15.9,8.9,6.9,NA
Varanus exanthematicus,Male,Varanidae,Anguimorpha,7,7,107.61,NA,262.28000000000003,52.66,36.65,26.93,NA
Salvator merianae,Male,Teiidae,Lacertoidea,10,10,502.63,NA,419.09999999999997,92.63,NA,NA,NA
Anolis sagrei,Male,Dactyloidae,Iguania,27,27,10.23,NA,63.980000000000004,17.79,NA,NA,NA
Tupinambis teguixin,Male,Teiidae,Lacertoidea,3,3,86.89,NA,321.37,NA,NA,NA,NA
Anolis carolinensis,Male,Dactyloidae,Iguania,56,56,12.598826466212717,NA,67.51065627318681,NA,NA,NA,NA
