BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis bahorucoensis,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,30,30,NA,NA,NA,NA,38.9,1.23,NA,NA,13.18,1.17,NA,NA,6.31,1.15,NA,NA,5.13,1.15,NA,NA,2.14,1.82,NA,NA,13.49,1.17,NA,NA,Yes1,Pleurodonta,Anolis_bahorucoensis,Non acrodont,16,3.96,40.13,NA,14.35,7.46,6.28,14.66
Anolis bahorucoensis,Neotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,22,22,NA,NA,NA,NA,31.62,1.12,NA,NA,10.72,1.1,NA,NA,5.37,1.07,NA,NA,4.37,1.12,NA,NA,1.07,1.58,NA,NA,10.72,1.1,NA,NA,Yes1,Pleurodonta,Anolis_bahorucoensis,Non acrodont,16,2.65,32.74,NA,11.82,6.44,5.49,11.82
Anolis baracoae,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,2,2,NA,NA,NA,NA,123.03,1.02,NA,NA,41.69,1.02,NA,NA,13.8,1.02,NA,NA,17.38,1.05,NA,NA,23.99,1.15,NA,NA,41.69,1.05,NA,NA,Yes1,Pleurodonta,Anolis_baracoae,Non acrodont,16,25.14,124.05,NA,42.71,14.82,18.43,42.74
Anolis baracoae,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,3,3,NA,NA,NA,NA,112.2,1.15,NA,NA,38.02,1.2,NA,NA,21.38,1.23,NA,NA,14.45,1.23,NA,NA,15.14,1.74,NA,NA,36.31,1.2,NA,NA,Yes1,Pleurodonta,Anolis_baracoae,Non acrodont,16,16.88,113.35,NA,39.22,22.61,15.68,37.51
Anolis barahonae,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,32,32,NA,NA,NA,NA,147.91,1.29,NA,NA,44.67,1.29,NA,NA,25.7,1.26,NA,NA,22.91,1.26,NA,NA,48.98,1.91,NA,NA,45.71,1.26,NA,NA,Yes1,Pleurodonta,Anolis_barahonae,Non acrodont,16,50.89,149.2,NA,45.96,26.96,24.17,46.97
Anolis barahonae,Neotropic,Arboreal,Omnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,7,7,NA,NA,NA,NA,141.25,1.05,NA,NA,43.65,1.05,NA,NA,23.99,1.1,NA,NA,20.89,1.07,NA,NA,40.74,1.26,NA,NA,43.65,1.07,NA,NA,Yes1,Pleurodonta,Anolis_barahonae,Non acrodont,16,42,142.3,NA,44.7,25.09,21.96,44.72
Anolis brevirostris,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,64,64,NA,NA,NA,NA,44.67,1.1,NA,NA,13.49,1.07,NA,NA,8.13,1.1,NA,NA,5.89,1.12,NA,NA,3.98,1.45,NA,NA,13.18,1.07,NA,NA,Yes1,Pleurodonta,Anolis_brevirostris,Non acrodont,16,5.43,45.77,NA,14.56,9.23,7.01,14.25
Anolis brevirostris,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,32,32,NA,NA,NA,NA,38.9,1.07,NA,NA,12.02,1.05,NA,NA,7.24,1.07,NA,NA,5.37,1.12,NA,NA,1.91,1.29,NA,NA,11.75,1.05,NA,NA,Yes1,Pleurodonta,Anolis_brevirostris,Non acrodont,16,3.2,39.97,NA,13.07,8.31,6.49,12.8
Anolis brunneus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,53,53,NA,NA,NA,NA,61.66,1.15,NA,NA,19.5,1.15,NA,NA,9.12,1.15,NA,NA,6.61,1.15,NA,NA,4.57,1.58,NA,NA,20.89,1.15,NA,NA,Yes1,Pleurodonta,Anolis_brunneus,Non acrodont,16,6.15,62.81,NA,20.65,10.27,7.76,22.04
Anolis brunneus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,24,24,NA,NA,NA,NA,46.77,1.07,NA,NA,13.8,1.05,NA,NA,6.61,1.07,NA,NA,4.68,1.12,NA,NA,1.74,1.48,NA,NA,14.13,1.07,NA,NA,Yes1,Pleurodonta,Anolis_brunneus,Non acrodont,16,3.22,47.84,NA,14.85,7.68,5.8,15.2
