BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis singularis,Neotropic,Arboreal,NA,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,16,16,NA,NA,NA,NA,38.9,1.1,NA,NA,12.3,1.1,NA,NA,6.76,1.12,NA,NA,5.25,1.15,NA,NA,2.51,1.91,NA,NA,12.88,1.12,NA,NA,Yes1,Pleurodonta,Anolis_singularis,Non acrodont,16,4.42,40,NA,13.4,7.88,6.4,14
Anolis singularis,Neotropic,Arboreal,NA,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,18,18,NA,NA,NA,NA,33.88,1.12,NA,NA,10.72,1.23,NA,NA,6.17,1.17,NA,NA,4.68,1.1,NA,NA,1.2,1.86,NA,NA,11.22,1.1,NA,NA,Yes1,Pleurodonta,Anolis_singularis,Non acrodont,16,3.06,35,NA,11.95,7.34,5.78,12.32
Anolis smaragdinus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,54,54,NA,NA,NA,NA,53.7,1.12,NA,NA,16.6,1.1,NA,NA,8.32,1.12,NA,NA,5.75,1.12,NA,NA,2.88,1.55,NA,NA,17.38,1.12,NA,NA,Yes1,Pleurodonta,Anolis_smaragdinus,Non acrodont,16,4.43,54.82,NA,17.7,9.44,6.87,18.5
Anolis smaragdinus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,51,51,NA,NA,NA,NA,44.67,1.07,NA,NA,13.18,1.07,NA,NA,6.46,1.07,NA,NA,4.37,1.12,NA,NA,1.15,1.48,NA,NA,13.49,1.07,NA,NA,Yes1,Pleurodonta,Anolis_smaragdinus,Non acrodont,16,2.63,45.74,NA,14.25,7.53,5.49,14.56
Anolis stratulus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,38,38,NA,NA,NA,NA,44.67,1.05,NA,NA,13.8,1.05,NA,NA,7.76,1.07,NA,NA,5.5,1.1,NA,NA,1.82,1.17,NA,NA,13.8,1.05,NA,NA,Yes1,Pleurodonta,Anolis_stratulus,Non acrodont,16,2.99,45.72,NA,14.85,8.83,6.6,14.85
Anolis stratulus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,28,28,NA,NA,NA,NA,38.02,1.07,NA,NA,11.75,1.05,NA,NA,6.61,1.1,NA,NA,4.9,1.1,NA,NA,1.02,1.17,NA,NA,11.75,1.05,NA,NA,Yes1,Pleurodonta,Anolis_stratulus,Non acrodont,16,2.19,39.09,NA,12.8,7.71,6,12.8
Anolis valencienni,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,20,20,NA,NA,NA,NA,61.18,2.82,NA,NA,17.04,0.72,NA,NA,8.11,0.5,NA,NA,6.45,0.4,NA,NA,3.31,0.78,NA,NA,17.05,0.82,NA,NA,Yes1,Pleurodonta,Anolis_valencienni,Non acrodont,16,4.09,64,NA,17.76,8.61,6.85,17.87
Anolis valencienni,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,23,23,NA,NA,NA,NA,67.47,4.72,NA,NA,19.89,1.92,NA,NA,9.59,0.95,NA,NA,7.97,0.99,NA,NA,6.7,3.1,NA,NA,19.96,1.99,NA,NA,Yes1,Pleurodonta,Anolis_valencienni,Non acrodont,16,9.8,72.19,NA,21.81,10.54,8.96,21.95
Anolis valencienni,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,25,25,NA,NA,NA,NA,64.57,1.15,NA,NA,19.05,1.17,NA,NA,9.12,1.17,NA,NA,7.59,1.2,NA,NA,5.37,1.82,NA,NA,19.05,1.17,NA,NA,Yes1,Pleurodonta,Anolis_valencienni,Non acrodont,16,7.19,65.72,NA,20.22,10.29,8.79,20.22
Anolis valencienni,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,22,22,NA,NA,NA,NA,58.88,1.12,NA,NA,16.6,1.1,NA,NA,7.94,1.1,NA,NA,6.31,1.1,NA,NA,2.95,1.41,NA,NA,16.6,1.12,NA,NA,Yes1,Pleurodonta,Anolis_valencienni,Non acrodont,16,4.36,60,NA,17.7,9.04,7.41,17.72
Aspidoscelis sonorae,Neartic,Terrestrial,Carnivorous,Other,Other,Other,"Meyers & Irschick, 2015",Teiidae,unknown,51,51,NA,NA,NA,NA,70.68,9.9979998,1.4,NA,NA,NA,NA,NA,10.24,1.214042833,0.17,NA,8.65,0.99979998,0.14,NA,5.88,2.49949995,0.35,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Aspidoscelis_sonorae,Non acrodont,16,8.37949995,80.6779998,NA,NA,11.45404283,9.64979998,NA
Aspidoscelis sexlineatus,Neartic,Terrestrial,Carnivorous,Other,Other,Other,"Gowan, et al., 2010",Teiidae,Male,112,112,NA,NA,NA,NA,65.4,5.291502622,0.5,NA,16.17,1.375790682,0.13,NA,8.54,0.952470472,0.09,NA,7.26,0.84664042,0.08,NA,4.33,1.375790682,0.13,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Aspidoscelis_sexlineatus,Non acrodont,13,5.705790682,70.69150262,NA,17.54579068,9.492470472,8.10664042,NA
Bradypodion caeruleogula,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,6,6,NA,NA,NA,NA,46.11,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,4.68,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_caeruleogula,Acrodont,24,10.82,52.63,NA,NA,NA,NA,NA
Bradypodion caeruleogula,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,2,3,NA,NA,NA,NA,44.53,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,1.58,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_caeruleogula,Acrodont,24,7.2,47.47,NA,NA,NA,NA,NA
Bradypodion caffer,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,6,6,NA,NA,NA,NA,61.96,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.78,7.73,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_caffer,Acrodont,24,22.51,63.32,NA,NA,NA,NA,NA
Bradypodion caffer,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,10,10,NA,NA,NA,NA,57.54,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.65,5.3,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_caffer,Acrodont,24,17.95,67.46,NA,NA,NA,NA,NA
Bradypodion damaranum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,19,19,NA,NA,NA,NA,65.46,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.01,7.23,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_damaranum,Acrodont,24,31.24,74.68,NA,NA,NA,NA,NA
Bradypodion damaranum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,9,9,NA,NA,NA,NA,58.63,11.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.84,10.23,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_damaranum,Acrodont,24,28.07,70.51,NA,NA,NA,NA,NA
Bradypodion kentanicum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,11,11,NA,NA,NA,NA,51.02,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,3.96,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_kentanicum,Acrodont,24,11.84,56.37,NA,NA,NA,NA,NA
Bradypodion kentanicum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,2,5,NA,NA,NA,NA,51.98,10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,3.96,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_kentanicum,Acrodont,24,11.84,62.5,NA,NA,NA,NA,NA
Bradypodion melanocephalum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,25,23,NA,NA,NA,NA,48.63,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37,3.11,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_melanocephalum,Acrodont,24,13.48,52.52,NA,NA,NA,NA,NA
Bradypodion melanocephalum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,16,15,NA,NA,NA,NA,57.02,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.88,4.11,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_melanocephalum,Acrodont,24,17.99,61.24,NA,NA,NA,NA,NA
Bradypodion melanocephalum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Da Silva, et al., 2014",Chamaeleonidae,Male,25,23,NA,NA,NA,NA,49.14,0.88,NA,NA,11.68,0.72,NA,NA,7.54,0.48,NA,NA,6.98,6.89,NA,NA,10.37,3.11,NA,NA,11.55,0.84,NA,NA,Yes1,Acrodonta,Bradypodion_melanocephalum,Acrodont,16,13.48,50.02,NA,12.4,8.02,13.87,12.39
Bradypodion melanocephalum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Da Silva, et al., 2014",Chamaeleonidae,Female,16,15,NA,NA,NA,NA,57.47,0.95,NA,NA,11.23,0.85,NA,NA,7.33,0.59,NA,NA,6.89,0.47,NA,NA,13.88,4.11,NA,NA,11.05,0.86,NA,NA,Yes1,Acrodonta,Bradypodion_melanocephalum,Acrodont,16,17.99,58.42,NA,12.08,7.92,7.36,11.91
Bradypodion nemorale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,4,4,NA,NA,NA,NA,52.84,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26,4.46,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_nemorale,Acrodont,24,13.72,59.94,NA,NA,NA,NA,NA
Bradypodion nemorale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,19,20,NA,NA,NA,NA,56.64,9.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,4.68,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_nemorale,Acrodont,24,14,66.05,NA,NA,NA,NA,NA
Bradypodion occidentale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,1,1,NA,NA,NA,NA,71.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.71,NA,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_occidentale,Acrodont,26,21.71,71.98,NA,NA,NA,NA,NA
Bradypodion occidentale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,9,9,NA,NA,NA,NA,86.58,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,6.64,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_occidentale,Acrodont,24,40.54,91.45,NA,NA,NA,NA,NA
Bradypodion occidentale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Segall, et al., 2013",Chamaeleonidae,unknown,10,10,15.96,4.553679831,1.44,NA,78.87,6.261309767,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,3.193900437,1.01,NA,NA,NA,NA,NA,Yes1,Acrodonta,Bradypodion_occidentale,Acrodont,19,16.99390044,85.13130977,20.51367983,NA,NA,NA,NA
Bradypodion pumilum,Afrotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,27,27,NA,NA,NA,NA,62.07,13.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.09,7.48,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_pumilum,Acrodont,24,23.57,75.21,NA,NA,NA,NA,NA
Bradypodion pumilum,Afrotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,22,23,NA,NA,NA,NA,58.49,12.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.29,5.63,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_pumilum,Acrodont,24,17.92,70.92,NA,NA,NA,NA,NA
Bradypodion pumilum,Afrotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Segall, et al., 2013",Chamaeleonidae,unknown,10,10,9.77,3.225523213,1.02,NA,66.53,5.913459225,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,2.213594362,0.7,NA,NA,NA,NA,NA,Yes1,Acrodonta,Bradypodion_pumilum,Acrodont,19,15.54359436,72.44345922,12.99552321,NA,NA,NA,NA
Bradypodion setaroi,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,7,7,NA,NA,NA,NA,50.99,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.93,2.31,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_setaroi,Acrodont,24,13.24,54.19,NA,NA,NA,NA,NA
Bradypodion setaroi,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,15,15,NA,NA,NA,NA,58.33,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98,1.97,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_setaroi,Acrodont,24,13.95,62.43,NA,NA,NA,NA,NA
Bradypodion taeniabronchum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,21,32,NA,NA,NA,NA,50.13,4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,1.48,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_taeniabronchum,Acrodont,24,5.13,54.87,NA,NA,NA,NA,NA
Bradypodion taeniabronchum,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,18,27,NA,NA,NA,NA,50.82,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,1.44,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_taeniabronchum,Acrodont,24,4.72,58.38,NA,NA,NA,NA,NA
Bradypodion thamnobates,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,25,13,NA,NA,NA,NA,60.97,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,7.58,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_thamnobates,Acrodont,24,37.98,75.8,NA,NA,NA,NA,NA
Bradypodion thamnobates,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,17,12,NA,NA,NA,NA,66.34,19.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.25,13.04,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_thamnobates,Acrodont,24,47.29,85.55,NA,NA,NA,NA,NA
Bradypodion thamnobates,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Da Silva, et al., 2014",Chamaeleonidae,Male,20,20,NA,NA,NA,NA,60,3.27,NA,NA,14.47,2.56,NA,NA,10.41,2.5,NA,NA,9,1.96,NA,NA,23.57,17.89,NA,NA,14.39,3.19,NA,NA,Yes1,Acrodonta,Bradypodion_thamnobates,Acrodont,16,41.46,63.27,NA,17.03,12.91,10.96,17.58
Bradypodion thamnobates,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Da Silva, et al., 2014",Chamaeleonidae,Female,25,25,NA,NA,NA,NA,66.42,3.32,NA,NA,14.17,2.76,NA,NA,9.84,2.6,NA,NA,8.73,2.1,NA,NA,24.74,16.35,NA,NA,13.56,3.06,NA,NA,Yes1,Acrodonta,Bradypodion_thamnobates,Acrodont,16,41.09,69.74,NA,16.93,12.44,10.83,16.62
Bradypodion transvaalense,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,12,12,NA,NA,NA,NA,60.26,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.02,6.74,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_transvaalense,Acrodont,24,22.76,70.5,NA,NA,NA,NA,NA
Bradypodion transvaalense,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,10,10,NA,NA,NA,NA,66.14,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.45,6.11,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_transvaalense,Acrodont,24,23.56,78.34,NA,NA,NA,NA,NA
Bradypodion ventrale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Male,8,8,NA,NA,NA,NA,64.22,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.46,3.82,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_ventrale,Acrodont,24,13.28,73.44,NA,NA,NA,NA,NA
Bradypodion ventrale,Afrotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Dollion, et al., 2017",Chamaeleonidae,Female,19,19,NA,NA,NA,NA,67.47,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.66,6.45,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Bradypodion_ventrale,Acrodont,24,19.11,80.24,NA,NA,NA,NA,NA
Callisaurus draconoides,Neartic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, 2007",Phrynosomatidae,Male,12,12,NA,NA,NA,NA,83.04,8.18,NA,NA,15.66,0.93,NA,NA,12.59,0.84,NA,NA,8.8,0.48,NA,NA,4.79,1.46,NA,NA,NA,NA,NA,NA,Maybe,Pleurodonta,Callisaurus_draconoides,Non acrodont,18,6.25,91.22,NA,16.59,13.43,9.28,NA
Carlia triacantha,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"D'Amore, et al., 2018",Scincidae,unknown,2,2,2.75,1.06,NA,NA,44.81,6.19,NA,NA,8.92,0.37,NA,NA,7.81,1.05,NA,NA,NA,NA,NA,NA,0.41,0.41,NA,NA,NA,NA,NA,NA,Yes1,Scincoidea,Carlia_triacantha,Non acrodont,18,0.82,51,3.81,9.29,8.86,NA,NA
Chalcides ocellatus,Paleartic,Cryptic,Carnivorous,Other,Other,Other,"Guilloux, et al., 2020",Scincidae,unknown,16,13,10.28,6.88,NA,NA,80.88,24.41,NA,NA,11.85,2.76,NA,NA,7.76,2.18,NA,NA,6.53,1.95,NA,NA,6.82,4.19,NA,NA,12.96,3.04,NA,NA,Yes1,Scincoidea,Chalcides_ocellatus,Non acrodont,14,11.01,105.29,17.16,14.61,9.94,8.48,16
Chalcides sepsoides,Paleartic,Fossorial,Omnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,17,17,4.66,1.02,NA,NA,83.41,5.73,NA,NA,9.9,0.48,NA,NA,5.93,0.33,NA,NA,5.05,0.24,NA,NA,4.12,0.75,NA,NA,9.97,0.71,NA,NA,Yes1,Scincoidea,Chalcides_sepsoides,Non acrodont,14,4.87,89.14,5.68,10.38,6.26,5.29,10.68
Aspidoscelis tigris,Neartic,Terrestrial,Carnivorous,Other,Other,Other,"Meyers & Irschick, 2015",Teiidae,unknown,1,1,NA,NA,NA,NA,75.54,NA,NA,NA,NA,NA,NA,NA,11.07,NA,NA,NA,9.23,NA,NA,NA,6.57,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Aspidoscelis_tigris,Non acrodont,24,6.57,75.54,NA,NA,11.07,9.23,NA
Aspidoscelis tigris,Neartic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, 2007",Teiidae,Male,5,5,NA,NA,NA,NA,77.26,9.89,NA,NA,18.97,2.07,NA,NA,10.28,1.75,NA,NA,8.87,1.15,NA,NA,6.69,4.38,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Aspidoscelis_tigris,Non acrodont,18,11.07,87.15,NA,21.04,12.03,10.02,NA
Cophosaurus texanus,Neartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Phrynosomatidae,unknown,29,29,NA,NA,NA,NA,60.71,8.400857099,1.56,NA,NA,NA,NA,NA,10.32,1.023181313,0.19,NA,7.86,1.077032961,0.2,NA,4.23,1.884807682,0.35,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Cophosaurus_texanus,Non acrodont,16,6.114807682,69.1108571,NA,NA,11.34318131,8.937032961,NA
Smaug mossambicus,Afrotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, 2007",Cordylidae,Male,5,5,NA,NA,NA,NA,109.03,3.17,NA,NA,30.29,0.56,NA,NA,24.93,0.34,NA,NA,13.92,0.45,NA,NA,19.31,0.88,NA,NA,NA,NA,NA,NA,Maybe,Scincoidea,Smaug_mossambicus,Non acrodont,18,20.19,112.2,NA,30.85,25.27,14.37,NA
Corucia zebrata,Australasia,Arboreal,Herbivorous,Arboreal,Other,Other,"Herrel, 2007",Scincidae,Male,2,2,NA,NA,NA,NA,275,7.07,NA,NA,50.6,4.53,NA,NA,48.88,2.37,NA,NA,36.03,3.01,NA,NA,206.85,69.15,NA,NA,NA,NA,NA,NA,Maybe,Scincoidea,Corucia_zebrata,Non acrodont,18,276,282.07,NA,55.13,51.25,39.04,NA
Crotaphytus antiquus,Neartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Husak, et al., 2006",Crotaphytidae,Male,18,18,40.4,11.87939392,2.8,54.5,100.4,8.061017306,1.9,108.6,27.4,3.39411255,0.8,30.6,23.5,2.545584412,0.6,26.2,NA,NA,NA,26.2,44.1,17.39482682,4.1,70.6,NA,NA,NA,NA,Yes1,Pleurodonta,Crotaphytus_antiquus,Non acrodont,7,61.49482682,108.4610173,52.27939392,30.79411255,26.04558441,NA,NA
Crotaphytus antiquus,Neartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Husak, et al., 2006",Crotaphytidae,Female,12,12,26,4.156921938,1.2,34,88.3,3.810511777,1.1,93.8,22.7,1.385640646,0.4,25.6,18.6,0.692820323,0.2,19.9,NA,NA,NA,19.9,19.8,2.771281292,0.8,23.3,NA,NA,NA,NA,Yes1,Pleurodonta,Crotaphytus_antiquus,Non acrodont,7,22.57128129,92.11051178,30.15692194,24.08564065,19.29282032,NA,NA
Crotaphytus collaris,Neartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Crotaphytidae,unknown,6,6,NA,NA,NA,NA,72.26,12.54138748,5.12,NA,NA,NA,NA,NA,17.08,2.424994845,0.99,NA,11.05,1.567673435,0.64,NA,11.79,4.727515204,1.93,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Crotaphytus_collaris,Non acrodont,16,16.5175152,84.80138748,NA,NA,19.50499485,12.61767344,NA
Cryptoblepharus metallicus,Australasia,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"D'Amore, et al., 2018",Scincidae,unknown,11,8,1,0.5,NA,NA,35.7,6.93,NA,NA,7.91,1.44,NA,NA,5.19,0.94,NA,NA,NA,NA,NA,NA,0.12,0.1,NA,NA,NA,NA,NA,NA,Yes1,Scincoidea,Cryptoblepharus_metallicus,Non acrodont,18,0.22,42.63,1.5,9.35,6.13,NA,NA
Ctenophorus maculosus,Australasia,Terrestrial,Carnivorous,Other,Other,Other,McLean & Stuart-Fox 2015,Agamidae,Male,32,32,10.46,1.42,NA,12.5,65.87,2.97,NA,70.21,NA,NA,NA,NA,14.37,0.66,NA,15.55,9.39,0.47,NA,10.15,8.91,2.98,NA,14,18.8,0.78,NA,20.14,Yes1,Acrodonta,Ctenophorus_maculosus,Acrodont,10,11.89,68.84,11.88,NA,15.03,9.86,19.58
Ctenotus inornatus,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"D'Amore, et al., 2018",Scincidae,unknown,10,9,5.4,2.49,NA,NA,63.99,9.49,NA,NA,12.42,1.85,NA,NA,8.84,1.37,NA,NA,NA,NA,NA,NA,1.26,0.6,NA,NA,NA,NA,NA,NA,Yes1,Scincoidea,Ctenotus_inornatus,Non acrodont,18,1.86,73.48,7.89,14.27,10.21,NA,NA
Ctenotus robustus,Australasia,Terrestrial,Omnivorous,Other,Other,Other,"D'Amore, et al., 2018",Scincidae,unknown,15,12,16.6,15.94,NA,NA,90.53,33.74,NA,NA,15.04,4.82,NA,NA,11.64,4.06,NA,NA,NA,NA,NA,NA,3.74,3.09,NA,NA,NA,NA,NA,NA,Yes1,Scincoidea,Ctenotus_robustus,Non acrodont,18,6.83,124.27,32.54,19.86,15.7,NA,NA
